,dataset,Locality,fulllocality,LAT,LONG,Temp.Seasonality..SD.100.,Precip.Seasonality..CV.,CWD
45,Chave05,NewGuinea,NewGuinea,-6,145.183,605.294,37.892,-11.6931694
46,Chave10,Peru,Peru,-12.92,-69.266,1074.62008,52,-115.5684599
47,Chave05,PuertoRi,PuertoRico1,18.317,-65.817,1255.472064,25.613008,-16.54163821
48,Chave10,PuertoRi2,PuertoRico2,17.98,-66.672,1129.11512,56.35944,-593.2154318
49,Chave10,PuertoRi3,PuertoRico3,18.317,-65.817,1255.472064,25.613008,-16.54163821
50,Chave10,SaoPaulo1,Brazil_SaoPaulo1,-23.92027778,-46.53166667,2335.173599,38.71573326,0
51,Chave10,SaoPaulo2,Brazil_SaoPaulo2,-22.35,-46.85,2239.48,72,-290.5362552
52,Chave10,SaoPaulo3,Brazil_SaoPaulo3,-23.993,-46.388,2264.68768,38.812,0
53,Chave10,Sarawak,Malaysia_Sarawak,1.05,110.917,355.108,23.4524,0
54,Chave10,SouthAfrica,SouthAfrica,-23.83,31.1,3168.926,78.378,-947.3923166
55,Chave10,SouthBrazil1,Brazil_MatoGrosso1,-9.858,-58.412,547.142784,73.647696,-377.062798
56,Chave10,SouthBrazil2,Brazil_MatoGrosso2,-12.85,-58.9333,867.38944,72.90928,-382.1767381
57,Chave10,SouthBrazil3,Brazil_MatoGrosso3,-7.144,-55.3786,452.8754336,65.9818016,-271.6014656
58,Chave05,Sumatra,Indonesia_Sumatra,-1.483,102.233,276.595648,33,0
59,Chave10,Tanzania1,Tanzania_Manyara,-6.333333333,35.78333333,1538.299999,111.5,-1095.44286
60,Chave10,Tanzania2,Tanzania_Lindi,-9.783333333,37.91666667,1387.3,104,-919.6016288
61,Chave10,Tanzania3,Tanzania_Katavi,-6.35,30.95,949.39,91.27,-818.0883385
62,Chave10,Tanzania4,Tanzania_Tabora,-5.3,32.96666667,1200.9,91,-908.9463349
63,Chave05,Venezuela,Venezuela1,1.917,-67.033,412.224304,23.508,0
64,Chave10,Venezuela2,Venezuela2,1.917,-67.033,412.224304,23.508,0
65,Chave05,Yucatan,Mexico_Yucatan,20,-88,1678.5,54.25,-482.2701666
66,Chave10,Zambia,Zambia,-15.25,29.83,3083.13,117.5,-969.9353852
67,Chave10,WestJava,Indonesia_WestJava,-6.575,106.5083333,323.3099926,20.20999976,0
68,Chave10,Kaliman6,Indonesia_Kaliman6,-0.516666667,115.3666667,197.5899978,25,0
69,Chave10,Sumatra2,Indonesia_Sumatra2,-3.316666667,103.9,274.3000002,38,-16.51035849
