PlotID	ForestDiv	LatDec	LongDec	Alt	CanoHt	CanoCov	Strata	Rain	DryMo	ForestType	Soil	StrucIntegr	FlorIntegr
BSP83	Sirsi	14.275	74.73278	540	28	65	4	4739	6	DDD	S8	1	1
BSP84	Honnavar	14.25083	74.66556	55	25	65	3	4661	6	PDH	S2	1	1
BSP85	Yellapur	15.02611	74.77833	532	30	60	3	1579	6	LTD	S11	1	NA
BSP86	Yellapur	14.89306	74.78278	422	28	65	3	2061	6	PDH	S8	1	3
BSP87	Yellapur	14.81056	75.01833	580	15	65	2	1661	6	LTD	S11	2	NA
BSP88	Honnavar	14.52167	74.55694	160	30	70	4	5444	6	PDH	S8	1	1
BSP89	Karwar	14.94667	74.36444	390	18	70	3	5033	6	PDH	S6	1	1
BSP9	Yellapur	14.97361	74.70417	550	8	8	1	2496	6	PDH	S10	3	2
BSP90	Karwar	15.12056	74.31389	616	22	80	3	4863	6	MSA	S6	1	1
BSP91	Karwar	15.24278	74.29111	610	20	80	3	4821	6	MSA	S6	1	1
BSP92	Honnavar	14.56417	74.56222	220	18	35	3	5583	6	PDH	S6	1	1
BSP93	Karwar	14.78889	74.14583	130	8	20	2	3126	6	PDH	S3	3	2
BSP94	Sirsi	14.27694	74.73833	550	30	60	3	4739	6	DDD	S8	1	1
BSP95	Koppa	13.73889	75.48667	610	12	75	2	1858	6	LTD	S7	2	NA
BSP96	Sagar	13.97417	75.10194	522	15	45	2	2323	5	DDD+P	S7	2	3
BSP97	Chikkamagalur	13.43722	75.64889	710	20	50	2	1946	4	LTD	S4	2	NA
BSP98	Sagar	14.22167	74.76111	490	30	75	3	4328	6	DDD	S4	1	1
BSP99	Sagar	14.04333	74.71167	390	28	80	4	6019	6	DDD	S3	1	1


													









													
