number,Locality,Latin_Binomial,genus,Family,Trunk.diameter..cm.,Total.height..m.,Dry.weight.branch..kg.,Dry.weight.trunk..kg.,Dry.weight.leaf..kg.,Dry.total.AGB..kg.,Wood.specific.gravity,wsg.taxolevel,wsg.comment,f,taxolevel,,
14,Australia,Eucalyptus_bleeseri,Eucalyptus,Myrtaceae,7,8.7,4.30,8.69,0.31,13.30,0.83,genus,dryad.values,0.0376,species,,
15,Australia,Eucalyptus_bleeseri,Eucalyptus,Myrtaceae,8.5,9.1,8.76,17.67,1.45,27.88,0.83,genus,dryad.values,0.0511,species,,
16,Australia,Eucalyptus_bleeseri,Eucalyptus,Myrtaceae,9.3,11.0,9.76,32.41,0.53,42.70,0.83,genus,dryad.values,0.0541,species,,
17,Australia,Eucalyptus_bleeseri,Eucalyptus,Myrtaceae,11,11.8,19.39,35.25,0.64,55.28,0.83,genus,dryad.values,0.0466,species,,
18,Australia,Eucalyptus_bleeseri,Eucalyptus,Myrtaceae,11.9,13.5,17.44,64.20,2.00,83.64,0.83,genus,dryad.values,0.0527,species,,
19,Australia,Eucalyptus_bleeseri,Eucalyptus,Myrtaceae,13.6,12.5,11.31,59.76,1.98,73.05,0.83,genus,dryad.values,0.0381,species,,
20,Australia,Eucalyptus_bleeseri,Eucalyptus,Myrtaceae,22.7,15.9,109.91,223.71,3.79,337.41,0.83,genus,dryad.values,0.0496,species,,
21,Australia,Eucalyptus_clavigera,Eucalyptus,Myrtaceae,6.413274733,NA,NA,NA,NA,27.41,0.83,genus,dryad.values,,species,,
22,Australia,Eucalyptus_miniata,Eucalyptus,Myrtaceae,5.830433658,NA,NA,NA,NA,8.57,0.90,species,dryad.values,,species,,
23,Australia,Eucalyptus_miniata,Eucalyptus,Myrtaceae,6.266837445,NA,NA,NA,NA,17.00,0.90,species,dryad.values,,species,,
24,Australia,Eucalyptus_miniata,Eucalyptus,Myrtaceae,6.8,6.8,0.60,7.78,0.16,8.54,0.90,species,dryad.values,0.0303,species,,
25,Australia,Eucalyptus_miniata,Eucalyptus,Myrtaceae,7.237862309,NA,NA,NA,NA,19.25,0.90,species,dryad.values,,species,,
26,Australia,Eucalyptus_miniata,Eucalyptus,Myrtaceae,7.369431805,NA,NA,NA,NA,25.64,0.90,species,dryad.values,,species,,
27,Australia,Eucalyptus_miniata,Eucalyptus,Myrtaceae,7.6,10.7,2.04,18.44,0.61,21.09,0.90,species,dryad.values,0.0380,species,,
28,Australia,Eucalyptus_miniata,Eucalyptus,Myrtaceae,7.838953266,NA,NA,NA,NA,19.95,0.90,species,dryad.values,,species,,
29,Australia,Eucalyptus_miniata,Eucalyptus,Myrtaceae,8.001529692,NA,NA,NA,NA,34.92,0.90,species,dryad.values,,species,,
30,Australia,Eucalyptus_miniata,Eucalyptus,Myrtaceae,8.064035688,NA,NA,NA,NA,20.93,0.90,species,dryad.values,,species,,
31,Australia,Eucalyptus_miniata,Eucalyptus,Myrtaceae,8.274259502,NA,NA,NA,NA,26.26,0.90,species,dryad.values,,species,,
32,Australia,Eucalyptus_miniata,Eucalyptus,Myrtaceae,8.446377628,NA,NA,NA,NA,30.31,0.90,species,dryad.values,,species,,
33,Australia,Eucalyptus_miniata,Eucalyptus,Myrtaceae,10.37729264,NA,NA,NA,NA,154.02,0.90,species,dryad.values,,species,,
34,Australia,Eucalyptus_miniata,Eucalyptus,Myrtaceae,10.4040333,NA,NA,NA,NA,58.50,0.90,species,dryad.values,,species,,
35,Australia,Eucalyptus_miniata,Eucalyptus,Myrtaceae,11.01007977,NA,NA,NA,NA,48.31,0.90,species,dryad.values,,species,,
36,Australia,Eucalyptus_miniata,Eucalyptus,Myrtaceae,11.03845102,NA,NA,NA,NA,64.36,0.90,species,dryad.values,,species,,
37,Australia,Eucalyptus_miniata,Eucalyptus,Myrtaceae,11.67941889,NA,NA,NA,NA,42.49,0.90,species,dryad.values,,species,,
38,Australia,Eucalyptus_miniata,Eucalyptus,Myrtaceae,12.56305739,NA,NA,NA,NA,52.93,0.90,species,dryad.values,,species,,
39,Australia,Eucalyptus_miniata,Eucalyptus,Myrtaceae,13.1,13.0,9.29,49.46,1.36,60.11,0.90,species,dryad.values,0.0300,species,,
40,Australia,Eucalyptus_miniata,Eucalyptus,Myrtaceae,13.8,11.0,7.40,48.57,1.32,57.29,0.90,species,dryad.values,0.0305,species,,
41,Australia,Eucalyptus_miniata,Eucalyptus,Myrtaceae,14.5,12.0,7.47,63.32,1.83,72.62,0.90,species,dryad.values,0.0321,species,,
42,Australia,Eucalyptus_miniata,Eucalyptus,Myrtaceae,15.3,13.3,15.76,80.08,2.26,98.10,0.90,species,dryad.values,0.0351,species,,
43,Australia,Eucalyptus_miniata,Eucalyptus,Myrtaceae,15.92042156,NA,NA,NA,NA,110.49,0.90,species,dryad.values,,species,,
44,Australia,Eucalyptus_miniata,Eucalyptus,Myrtaceae,16.6,13.0,25.80,84.31,2.05,112.16,0.90,species,dryad.values,0.0349,species,,
45,Australia,Eucalyptus_miniata,Eucalyptus,Myrtaceae,19.21272048,NA,NA,NA,NA,209.55,0.90,species,dryad.values,,species,,
46,Australia,Eucalyptus_miniata,Eucalyptus,Myrtaceae,21.6,14.7,26.45,166.63,4.09,197.17,0.90,species,dryad.values,0.0320,species,,
47,Australia,Eucalyptus_miniata,Eucalyptus,Myrtaceae,21.60826546,NA,NA,NA,NA,204.04,0.90,species,dryad.values,,species,,
48,Australia,Eucalyptus_miniata,Eucalyptus,Myrtaceae,21.83233512,NA,NA,NA,NA,327.98,0.90,species,dryad.values,,species,,
49,Australia,Eucalyptus_miniata,Eucalyptus,Myrtaceae,24.6232935,NA,NA,NA,NA,366.85,0.90,species,dryad.values,,species,,
50,Australia,Eucalyptus_miniata,Eucalyptus,Myrtaceae,24.84646383,NA,NA,NA,NA,350.90,0.90,species,dryad.values,,species,,
51,Australia,Eucalyptus_miniata,Eucalyptus,Myrtaceae,28.40456944,NA,NA,NA,NA,530.05,0.90,species,dryad.values,,species,,
52,Australia,Eucalyptus_miniata,Eucalyptus,Myrtaceae,29.93958767,NA,NA,NA,NA,446.48,0.90,species,dryad.values,,species,,
53,Australia,Eucalyptus_miniata,Eucalyptus,Myrtaceae,33.38825407,NA,NA,NA,NA,556.11,0.90,species,dryad.values,,species,,
54,Australia,Eucalyptus_miniata,Eucalyptus,Myrtaceae,38.51552113,NA,NA,NA,NA,973.57,0.90,species,dryad.values,,species,,
55,Australia,Eucalyptus_miniata,Eucalyptus,Myrtaceae,43.27619262,NA,NA,NA,NA,1106.51,0.90,species,dryad.values,,species,,
56,Australia,Eucalyptus_miniata,Eucalyptus,Myrtaceae,49.92190092,NA,NA,NA,NA,1384.32,0.90,species,dryad.values,,species,,
57,Australia,Eucalyptus_papuana,Eucalyptus,Myrtaceae,11.69699514,NA,NA,NA,NA,37.22,0.87,species,dryad.values,,species,,
58,Australia,Eucalyptus_papuana,Eucalyptus,Myrtaceae,15.10417326,NA,NA,NA,NA,75.26,0.87,species,dryad.values,,species,,
59,Australia,Eucalyptus_papuana,Eucalyptus,Myrtaceae,18.64349696,NA,NA,NA,NA,184.37,0.87,species,dryad.values,,species,,
60,Australia,Eucalyptus_papuana,Eucalyptus,Myrtaceae,20.63525779,NA,NA,NA,NA,206.22,0.87,species,dryad.values,,species,,
61,Australia,Eucalyptus_papuana,Eucalyptus,Myrtaceae,23.27318659,NA,NA,NA,NA,317.65,0.87,species,dryad.values,,species,,
62,Australia,Eucalyptus_papuana,Eucalyptus,Myrtaceae,26.24833766,NA,NA,NA,NA,632.05,0.87,species,dryad.values,,species,,
63,Australia,Eucalyptus_papuana,Eucalyptus,Myrtaceae,28.08601688,NA,NA,NA,NA,765.83,0.87,species,dryad.values,,species,,
64,Australia,Eucalyptus_papuana,Eucalyptus,Myrtaceae,30.16554576,NA,NA,NA,NA,778.19,0.87,species,dryad.values,,species,,
65,Australia,Eucalyptus_papuana,Eucalyptus,Myrtaceae,34.14993062,NA,NA,NA,NA,898.71,0.87,species,dryad.values,,species,,
66,Australia,Eucalyptus_papuana,Eucalyptus,Myrtaceae,37.09444847,NA,NA,NA,NA,592.86,0.87,species,dryad.values,,species,,
67,Australia,Eucalyptus_papuana,Eucalyptus,Myrtaceae,44.09734834,NA,NA,NA,NA,1817.04,0.87,species,dryad.values,,species,,
68,Australia,Eucalyptus_porrecta,Eucalyptus,Myrtaceae,7.5,7.7,1.92,11.57,0.64,14.13,0.83,genus,dryad.values,0.0393,species,,
69,Australia,Eucalyptus_porrecta,Eucalyptus,Myrtaceae,8.5,7.5,2.09,14.25,0.92,17.26,0.83,genus,dryad.values,0.0384,species,,
70,Australia,Eucalyptus_porrecta,Eucalyptus,Myrtaceae,9,6.7,2.52,13.58,0.53,16.63,0.83,genus,dryad.values,0.0369,species,,
71,Australia,Eucalyptus_porrecta,Eucalyptus,Myrtaceae,11.03845102,NA,NA,NA,NA,46.54,0.83,genus,dryad.values,,species,,
72,Australia,Eucalyptus_porrecta,Eucalyptus,Myrtaceae,12.5,7.9,10.06,34.82,1.87,46.75,0.83,genus,dryad.values,0.0456,species,,
73,Australia,Eucalyptus_porrecta,Eucalyptus,Myrtaceae,15,8.9,25.05,53.62,2.75,81.42,0.83,genus,dryad.values,0.0490,species,,
74,Australia,Eucalyptus_porrecta,Eucalyptus,Myrtaceae,15.5,10.8,25.84,71.68,2.28,99.80,0.83,genus,dryad.values,0.0463,species,,
75,Australia,Eucalyptus_porrecta,Eucalyptus,Myrtaceae,20,11.6,42.49,109.05,7.12,158.66,0.83,genus,dryad.values,0.0412,species,,
76,Australia,Eucalyptus_porrecta,Eucalyptus,Myrtaceae,24.9,13.4,60.98,158.22,6.41,225.61,0.83,genus,dryad.values,0.0327,species,,
77,Australia,Eucalyptus_tetrodonta,Eucalyptus,Myrtaceae,5.08732612,NA,NA,NA,NA,5.94,0.92,species,dryad.values,,species,,
78,Australia,Eucalyptus_tetrodonta,Eucalyptus,Myrtaceae,5.411449995,NA,NA,NA,NA,14.20,0.92,species,dryad.values,,species,,
79,Australia,Eucalyptus_tetrodonta,Eucalyptus,Myrtaceae,5.711954137,NA,NA,NA,NA,5.51,0.92,species,dryad.values,,species,,
80,Australia,Eucalyptus_tetrodonta,Eucalyptus,Myrtaceae,6.099483915,NA,NA,NA,NA,9.25,0.92,species,dryad.values,,species,,
81,Australia,Eucalyptus_tetrodonta,Eucalyptus,Myrtaceae,6.122965205,NA,NA,NA,NA,14.20,0.92,species,dryad.values,,species,,
82,Australia,Eucalyptus_tetrodonta,Eucalyptus,Myrtaceae,6.665686576,NA,NA,NA,NA,22.37,0.92,species,dryad.values,,species,,
83,Australia,Eucalyptus_tetrodonta,Eucalyptus,Myrtaceae,6.7,9.3,1.22,17.23,0.27,18.72,0.92,species,dryad.values,0.0486,species,,
84,Australia,Eucalyptus_tetrodonta,Eucalyptus,Myrtaceae,6.73465833,NA,NA,NA,NA,13.19,0.92,species,dryad.values,,species,,
85,Australia,Eucalyptus_tetrodonta,Eucalyptus,Myrtaceae,6.8,7.8,1.76,7.96,0.37,10.09,0.92,species,dryad.values,0.0303,species,,
86,Australia,Eucalyptus_tetrodonta,Eucalyptus,Myrtaceae,6.839456399,NA,NA,NA,NA,24.32,0.92,species,dryad.values,,species,,
87,Australia,Eucalyptus_tetrodonta,Eucalyptus,Myrtaceae,7.072147181,NA,NA,NA,NA,23.18,0.92,species,dryad.values,,species,,
88,Australia,Eucalyptus_tetrodonta,Eucalyptus,Myrtaceae,7.4,5.3,2.69,12.46,0.52,15.67,0.92,species,dryad.values,0.0586,species,,
89,Australia,Eucalyptus_tetrodonta,Eucalyptus,Myrtaceae,7.534423797,NA,NA,NA,NA,36.02,0.92,species,dryad.values,,species,,
90,Australia,Eucalyptus_tetrodonta,Eucalyptus,Myrtaceae,7.852529761,NA,NA,NA,NA,16.54,0.92,species,dryad.values,,species,,
91,Australia,Eucalyptus_tetrodonta,Eucalyptus,Myrtaceae,8.599915454,NA,NA,NA,NA,21.69,0.92,species,dryad.values,,species,,
92,Australia,Eucalyptus_tetrodonta,Eucalyptus,Myrtaceae,8.599915454,NA,NA,NA,NA,33.79,0.92,species,dryad.values,,species,,
93,Australia,Eucalyptus_tetrodonta,Eucalyptus,Myrtaceae,9.619990347,NA,NA,NA,NA,45.79,0.92,species,dryad.values,,species,,
94,Australia,Eucalyptus_tetrodonta,Eucalyptus,Myrtaceae,9.7,11.3,2.25,23.77,1.16,27.18,0.92,species,dryad.values,0.0277,species,,
95,Australia,Eucalyptus_tetrodonta,Eucalyptus,Myrtaceae,10.62045421,NA,NA,NA,NA,54.82,0.92,species,dryad.values,,species,,
96,Australia,Eucalyptus_tetrodonta,Eucalyptus,Myrtaceae,10.76850011,NA,NA,NA,NA,52.11,0.92,species,dryad.values,,species,,
97,Australia,Eucalyptus_tetrodonta,Eucalyptus,Myrtaceae,11.03845102,NA,NA,NA,NA,76.60,0.92,species,dryad.values,,species,,
98,Australia,Eucalyptus_tetrodonta,Eucalyptus,Myrtaceae,12.00889677,NA,NA,NA,NA,70.53,0.92,species,dryad.values,,species,,
99,Australia,Eucalyptus_tetrodonta,Eucalyptus,Myrtaceae,12.01686639,NA,NA,NA,NA,85.30,0.92,species,dryad.values,,species,,
100,Australia,Eucalyptus_tetrodonta,Eucalyptus,Myrtaceae,12.65157589,NA,NA,NA,NA,92.75,0.92,species,dryad.values,,species,,
101,Australia,Eucalyptus_tetrodonta,Eucalyptus,Myrtaceae,13.08200558,NA,NA,NA,NA,102.05,0.92,species,dryad.values,,species,,
102,Australia,Eucalyptus_tetrodonta,Eucalyptus,Myrtaceae,13.33189188,NA,NA,NA,NA,64.46,0.92,species,dryad.values,,species,,
103,Australia,Eucalyptus_tetrodonta,Eucalyptus,Myrtaceae,13.35413269,NA,NA,NA,NA,92.75,0.92,species,dryad.values,,species,,
104,Australia,Eucalyptus_tetrodonta,Eucalyptus,Myrtaceae,13.5,14.6,16.65,70.10,3.08,89.83,0.92,species,dryad.values,0.0366,species,,
105,Australia,Eucalyptus_tetrodonta,Eucalyptus,Myrtaceae,13.82183069,NA,NA,NA,NA,64.46,0.92,species,dryad.values,,species,,
106,Australia,Eucalyptus_tetrodonta,Eucalyptus,Myrtaceae,14,16.1,29.67,85.50,7.22,122.39,0.92,species,dryad.values,0.0421,species,,
107,Australia,Eucalyptus_tetrodonta,Eucalyptus,Myrtaceae,14.54688812,NA,NA,NA,NA,138.10,0.92,species,dryad.values,,species,,
108,Australia,Eucalyptus_tetrodonta,Eucalyptus,Myrtaceae,15.73004511,NA,NA,NA,NA,132.78,0.92,species,dryad.values,,species,,
109,Australia,Eucalyptus_tetrodonta,Eucalyptus,Myrtaceae,17.36272907,NA,NA,NA,NA,209.06,0.92,species,dryad.values,,species,,
110,Australia,Eucalyptus_tetrodonta,Eucalyptus,Myrtaceae,17.47612638,NA,NA,NA,NA,101.44,0.92,species,dryad.values,,species,,
111,Australia,Eucalyptus_tetrodonta,Eucalyptus,Myrtaceae,17.47612638,NA,NA,NA,NA,120.24,0.92,species,dryad.values,,species,,
112,Australia,Eucalyptus_tetrodonta,Eucalyptus,Myrtaceae,17.95562456,NA,NA,NA,NA,202.76,0.92,species,dryad.values,,species,,
113,Australia,Eucalyptus_tetrodonta,Eucalyptus,Myrtaceae,18.18595206,NA,NA,NA,NA,194.59,0.92,species,dryad.values,,species,,
114,Australia,Eucalyptus_tetrodonta,Eucalyptus,Myrtaceae,18.8,15.9,31.09,168.45,6.38,205.92,0.92,species,dryad.values,0.0397,species,,
115,Australia,Eucalyptus_tetrodonta,Eucalyptus,Myrtaceae,20.68328532,NA,NA,NA,NA,240.27,0.92,species,dryad.values,,species,,
116,Australia,Eucalyptus_tetrodonta,Eucalyptus,Myrtaceae,20.8,14.3,68.40,155.30,8.62,232.32,0.92,species,dryad.values,0.0407,species,,
117,Australia,Eucalyptus_tetrodonta,Eucalyptus,Myrtaceae,22.41449668,NA,NA,NA,NA,372.41,0.92,species,dryad.values,,species,,
118,Australia,Eucalyptus_tetrodonta,Eucalyptus,Myrtaceae,25.47066688,NA,NA,NA,NA,372.41,0.92,species,dryad.values,,species,,
119,Australia,Eucalyptus_tetrodonta,Eucalyptus,Myrtaceae,31.79572933,NA,NA,NA,NA,592.29,0.92,species,dryad.values,,species,,
120,Australia,Eucalyptus_tetrodonta,Eucalyptus,Myrtaceae,35.99543531,NA,NA,NA,NA,729.24,0.92,species,dryad.values,,species,,
121,Australia,Eucalyptus_tetrodonta,Eucalyptus,Myrtaceae,40.44461417,NA,NA,NA,NA,1020.45,0.92,species,dryad.values,,species,,
122,Australia,Eucalyptus_tetrodonta,Eucalyptus,Myrtaceae,42.31096485,NA,NA,NA,NA,1622.95,0.92,species,dryad.values,,species,,
123,Australia,Eucalyptus_tetrodonta,Eucalyptus,Myrtaceae,46.48042383,NA,NA,NA,NA,1622.95,0.92,species,dryad.values,,species,,
124,Australia,Eucalyptus_tetrodonta,Eucalyptus,Myrtaceae,52.42229527,NA,NA,NA,NA,1216.82,0.92,species,dryad.values,,species,,
125,Australia,Terminalia_ferdinandiana,Terminalia,Combretaceae,5.08732612,NA,NA,NA,NA,11.04,0.63,genus,dryad.values,,species,,
126,Australia,Terminalia_ferdinandiana,Terminalia,Combretaceae,6,5.6,1.09,6.39,0.34,7.82,0.63,genus,dryad.values,0.0615,species,,
127,Australia,Terminalia_ferdinandiana,Terminalia,Combretaceae,8,6.7,6.44,10.66,1.00,18.10,0.63,genus,dryad.values,0.0669,species,,
128,Australia,Terminalia_ferdinandiana,Terminalia,Combretaceae,8.5,7.0,6.33,14.73,1.44,22.50,0.63,genus,dryad.values,0.0706,species,,
129,Australia,Terminalia_ferdinandiana,Terminalia,Combretaceae,9.314122381,NA,NA,NA,NA,50.39,0.63,genus,dryad.values,,species,,
130,Australia,Terminalia_ferdinandiana,Terminalia,Combretaceae,10.2,7.2,5.59,15.83,1.11,22.53,0.63,genus,dryad.values,0.0477,species,,
131,Australia,Terminalia_ferdinandiana,Terminalia,Combretaceae,10.2,8.0,6.64,27.06,2.29,35.99,0.63,genus,dryad.values,0.0686,species,,
132,Australia,Terminalia_ferdinandiana,Terminalia,Combretaceae,10.5,6.8,18.47,21.51,2.18,42.16,0.63,genus,dryad.values,0.0892,species,,
133,Australia,Terminalia_ferdinandiana,Terminalia,Combretaceae,16.7,9.4,50.74,81.86,4.02,136.62,0.63,genus,dryad.values,0.0827,species,,
134,BraMan1,NA,NA,NA,5,5.7,0.90,4.60,NA,5.50,,,removed.wsg.values,,NA,,
135,BraMan1,NA,NA,NA,5,7.8,0.80,6.30,NA,7.10,,,removed.wsg.values,,NA,,
136,BraMan1,NA,NA,NA,5,9.5,0.90,7.20,NA,8.10,,,removed.wsg.values,,NA,,
137,BraMan1,NA,NA,NA,5.1,8.3,2.70,4.00,NA,6.70,,,removed.wsg.values,,NA,,
138,BraMan1,NA,NA,NA,5.1,9.7,4.10,4.20,NA,8.30,,,removed.wsg.values,,NA,,
139,BraMan1,NA,NA,NA,5.1,9.0,2.60,5.20,NA,7.70,,,removed.wsg.values,,NA,,
140,BraMan1,NA,NA,NA,5.1,9.7,1.40,5.50,NA,6.80,,,removed.wsg.values,,NA,,
141,BraMan1,NA,NA,NA,5.2,8.9,2.20,4.20,NA,6.40,,,removed.wsg.values,,NA,,
142,BraMan1,NA,NA,NA,5.2,6.0,3.00,5.40,NA,8.40,,,removed.wsg.values,,NA,,
143,BraMan1,NA,NA,NA,5.2,8.6,4.50,5.70,NA,10.20,,,removed.wsg.values,,NA,,
144,BraMan1,NA,NA,NA,5.2,8.2,3.40,6.00,NA,9.40,,,removed.wsg.values,,NA,,
145,BraMan1,NA,NA,NA,5.2,9.5,9.90,6.00,NA,15.90,,,removed.wsg.values,,NA,,
146,BraMan1,NA,NA,NA,5.2,8.6,2.10,6.30,NA,8.40,,,removed.wsg.values,,NA,,
147,BraMan1,NA,NA,NA,5.2,9.7,2.80,6.70,NA,9.40,,,removed.wsg.values,,NA,,
148,BraMan1,NA,NA,NA,5.2,14.1,1.90,9.60,NA,11.50,,,removed.wsg.values,,NA,,
149,BraMan1,NA,NA,NA,5.3,9.5,2.40,3.30,NA,5.70,,,removed.wsg.values,,NA,,
150,BraMan1,NA,NA,NA,5.3,6.2,6.30,4.30,NA,10.60,,,removed.wsg.values,,NA,,
151,BraMan1,NA,NA,NA,5.3,8.9,2.40,5.60,NA,8.00,,,removed.wsg.values,,NA,,
152,BraMan1,NA,NA,NA,5.3,9.8,1.20,7.00,NA,8.20,,,removed.wsg.values,,NA,,
153,BraMan1,NA,NA,NA,5.4,9.3,5.30,6.40,NA,11.70,,,removed.wsg.values,,NA,,
154,BraMan1,NA,NA,NA,5.4,9.6,1.60,8.70,NA,10.30,,,removed.wsg.values,,NA,,
155,BraMan1,NA,NA,NA,5.5,7.9,4.40,2.70,NA,7.10,,,removed.wsg.values,,NA,,
156,BraMan1,NA,NA,NA,5.5,9.4,5.30,5.70,NA,11.00,,,removed.wsg.values,,NA,,
157,BraMan1,NA,NA,NA,5.5,8.7,2.50,7.20,NA,9.70,,,removed.wsg.values,,NA,,
158,BraMan1,NA,NA,NA,5.5,8.5,3.60,7.50,NA,11.10,,,removed.wsg.values,,NA,,
159,BraMan1,NA,NA,NA,5.5,9.9,3.80,8.70,NA,12.50,,,removed.wsg.values,,NA,,
160,BraMan1,NA,NA,NA,5.5,12.1,1.50,9.10,NA,10.60,,,removed.wsg.values,,NA,,
161,BraMan1,NA,NA,NA,5.5,12.5,2.70,9.10,NA,11.80,,,removed.wsg.values,,NA,,
162,BraMan1,NA,NA,NA,5.5,11.4,1.10,9.60,NA,10.70,,,removed.wsg.values,,NA,,
163,BraMan1,NA,NA,NA,5.5,15.0,1.20,12.70,NA,13.90,,,removed.wsg.values,,NA,,
164,BraMan1,NA,NA,NA,5.5,9.6,2.70,14.50,NA,17.20,,,removed.wsg.values,,NA,,
165,BraMan1,NA,NA,NA,5.7,8.1,4.80,6.30,NA,11.10,,,removed.wsg.values,,NA,,
166,BraMan1,NA,NA,NA,5.8,6.0,3.90,4.30,NA,8.20,,,removed.wsg.values,,NA,,
167,BraMan1,NA,NA,NA,5.8,12.5,0.90,6.00,NA,6.90,,,removed.wsg.values,,NA,,
168,BraMan1,NA,NA,NA,5.8,5.6,3.00,6.00,NA,9.00,,,removed.wsg.values,,NA,,
169,BraMan1,NA,NA,NA,5.8,9.5,7.90,7.00,NA,14.90,,,removed.wsg.values,,NA,,
170,BraMan1,NA,NA,NA,5.8,6.4,3.60,7.10,NA,10.70,,,removed.wsg.values,,NA,,
171,BraMan1,NA,NA,NA,5.8,8.7,5.80,7.30,NA,13.10,,,removed.wsg.values,,NA,,
172,BraMan1,NA,NA,NA,5.8,9.9,5.30,7.80,NA,13.10,,,removed.wsg.values,,NA,,
173,BraMan1,NA,NA,NA,5.8,11.4,15.90,8.60,NA,24.50,,,removed.wsg.values,,NA,,
174,BraMan1,NA,NA,NA,5.8,11.5,3.50,10.50,NA,14.00,,,removed.wsg.values,,NA,,
175,BraMan1,NA,NA,NA,5.9,11.9,3.90,5.10,NA,9.00,,,removed.wsg.values,,NA,,
176,BraMan1,NA,NA,NA,5.9,9.8,4.50,6.40,NA,10.90,,,removed.wsg.values,,NA,,
177,BraMan1,NA,NA,NA,5.9,12.2,0.80,8.10,NA,8.90,,,removed.wsg.values,,NA,,
178,BraMan1,NA,NA,NA,5.9,10.2,3.70,9.00,NA,12.70,,,removed.wsg.values,,NA,,
179,BraMan1,NA,NA,NA,5.9,10.4,2.80,9.60,NA,12.40,,,removed.wsg.values,,NA,,
180,BraMan1,NA,NA,NA,5.9,14.0,3.60,10.00,NA,13.60,,,removed.wsg.values,,NA,,
181,BraMan1,NA,NA,NA,5.9,12.0,2.10,11.80,NA,13.90,,,removed.wsg.values,,NA,,
182,BraMan1,NA,NA,NA,5.9,12.8,1.40,15.00,NA,16.40,,,removed.wsg.values,,NA,,
183,BraMan1,NA,NA,NA,6,6.2,2.50,4.50,NA,7.00,,,removed.wsg.values,,NA,,
184,BraMan1,NA,NA,NA,6,8.4,7.50,7.10,NA,14.60,,,removed.wsg.values,,NA,,
185,BraMan1,NA,NA,NA,6,12.8,5.60,8.10,NA,13.70,,,removed.wsg.values,,NA,,
186,BraMan1,NA,NA,NA,6,9.7,2.70,8.10,NA,10.80,,,removed.wsg.values,,NA,,
187,BraMan1,NA,NA,NA,6,10.6,1.30,12.00,NA,13.30,,,removed.wsg.values,,NA,,
188,BraMan1,NA,NA,NA,6,12.3,3.60,13.80,NA,17.40,,,removed.wsg.values,,NA,,
189,BraMan1,NA,NA,NA,6.1,8.3,3.60,6.30,NA,9.90,,,removed.wsg.values,,NA,,
190,BraMan1,NA,NA,NA,6.1,9.5,3.00,7.80,NA,10.80,,,removed.wsg.values,,NA,,
191,BraMan1,NA,NA,NA,6.1,6.5,1.40,8.40,NA,9.80,,,removed.wsg.values,,NA,,
192,BraMan1,NA,NA,NA,6.1,11.0,3.00,10.20,NA,13.20,,,removed.wsg.values,,NA,,
193,BraMan1,NA,NA,NA,6.2,10.2,5.40,12.00,NA,17.40,,,removed.wsg.values,,NA,,
194,BraMan1,NA,NA,NA,6.3,10.7,6.60,9.00,NA,15.60,,,removed.wsg.values,,NA,,
195,BraMan1,NA,NA,NA,6.3,16.2,3.60,12.30,NA,15.90,,,removed.wsg.values,,NA,,
